layerSize,device,timestamp,value
8,1,4324.3,6256.103515625
8,1,4326.9,7568.359375
8,1,4335.4,6240.8447265625
8,1,4336.2,7568.359375
8,1,4341.4,6347.65625
8,1,4342.7,7690.4296875
8,1,4344.0,6347.65625
8,1,4371.9,7644.6533203125
8,1,4386.9,6225.5859375
8,1,4388.1,7812.5
8,1,4416.1,6301.8798828125
8,1,4417.3,7858.2763671875
8,1,4420.7,6271.3623046875
8,1,4466.4,7675.1708984375
8,1,4467.1,6271.3623046875
8,1,4469.2,7690.4296875
8,1,4498.5,6347.65625
8,1,4498.8,7827.7587890625
8,1,4500.0,6347.65625
8,1,4514.6,7812.5
8,1,4519.1,6286.62109375
8,1,4530.8,7705.6884765625
8,1,4533.8,6286.62109375
8,1,4537.3,7629.39453125
8,1,4537.8,6332.3974609375
8,1,4573.4,7644.6533203125
8,1,4588.8,6271.3623046875
8,1,4602.6,7659.912109375
8,1,4603.4,6256.103515625
8,1,4628.1,7904.052734375
8,1,4632.2,6301.8798828125
8,1,4673.5,7873.53515625
8,1,4684.2,6256.103515625
8,1,4696.2,7843.017578125
8,1,4728.2,6317.138671875
8,1,4728.6,7827.7587890625
8,1,4729.2,6256.103515625
8,1,4751.3,7919.3115234375
8,1,4790.8,6225.5859375
8,1,4812.9,7843.017578125
8,1,4819.0,6378.173828125
8,1,4819.4,7843.017578125
8,1,4825.6,6317.138671875
8,1,4835.6,7781.982421875
8,1,4867.1,6225.5859375
8,1,4868.0,7705.6884765625
8,1,4868.6,6240.8447265625
8,1,4897.2,7781.982421875
8,1,4914.6,6240.8447265625
8,1,4929.6,7812.5
8,1,4930.8,6301.8798828125
8,1,4945.8,7751.46484375
8,1,4946.4,6393.4326171875
8,1,4952.3,7751.46484375
8,1,4976.2,6271.3623046875
8,1,5013.9,7705.6884765625
8,1,5028.2,6271.3623046875
8,1,5036.6,7766.7236328125
8,1,5044.3,6240.8447265625
8,1,5059.3,7690.4296875
8,1,5062.0,6256.103515625
8,1,5075.5,7675.1708984375
8,1,5095.3,6271.3623046875
8,1,5118.1,7644.6533203125
8,1,5120.0,6347.65625
8,1,5120.9,7797.2412109375
8,1,5148.8,6271.3623046875
8,1,5150.1,7843.017578125
8,1,5151.3,6286.62109375
8,1,5189.0,7812.5
8,1,5190.2,6286.62109375
8,1,5211.7,7705.6884765625
8,1,5212.4,6256.103515625
8,1,5257.1,7675.1708984375
8,1,5272.0,6240.8447265625
8,1,5273.3,7690.4296875
8,1,5280.5,6271.3623046875
8,1,5286.3,7843.017578125
8,1,5287.6,6378.173828125
8,1,5318.7,7766.7236328125
8,1,5321.5,6271.3623046875
8,1,5331.7,7751.46484375
8,1,5362.9,6378.173828125
8,1,5364.1,7797.2412109375
8,1,5392.1,6256.103515625
8,1,5393.3,7827.7587890625
8,1,5393.6,6286.62109375
8,1,5409.5,7614.1357421875
8,1,5431.4,6256.103515625
8,1,5432.2,7659.912109375
8,1,5436.5,6286.62109375
8,1,5438.7,7690.4296875
8,1,5453.7,6332.3974609375
8,1,5454.9,7827.7587890625
8,1,5476.3,6362.9150390625
8,1,5477.6,7827.7587890625
8,1,5478.9,6256.103515625
8,1,5484.1,7644.6533203125
8,1,5484.4,6378.173828125
8,1,5523.0,7644.6533203125
8,1,5534.4,6301.8798828125
8,1,5539.2,7827.7587890625
8,1,5558.2,6240.8447265625
8,1,5568.4,7827.7587890625
8,1,5569.2,6347.65625
8,1,5600.8,7720.947265625
8,1,5628.8,6225.5859375
8,1,5630.0,7858.2763671875
8,1,5631.3,6347.65625
8,1,5646.2,7644.6533203125
8,1,5647.0,6347.65625
8,1,5685.1,7644.6533203125
8,1,5700.0,6362.9150390625
8,1,5707.8,7858.2763671875
8,1,5709.1,6240.8447265625
8,1,5714.3,7797.2412109375
8,1,5715.6,6317.138671875
8,1,5753.2,7812.5
8,1,5757.5,6286.62109375
8,1,5785.6,7675.1708984375
8,1,5813.5,6225.5859375
8,1,5814.8,7858.2763671875
8,1,5818.1,6317.138671875
8,1,5847.2,7843.017578125
8,1,5869.6,6347.65625
8,1,5869.9,7843.017578125
8,1,5887.3,6240.8447265625
8,1,5915.3,7843.017578125
8,1,5916.5,6317.138671875
8,1,5954.2,7812.5
8,1,5969.5,6286.62109375
8,1,5970.4,7766.7236328125
8,1,5973.1,6210.3271484375
8,1,5976.9,7751.46484375
8,1,5977.1,6286.62109375
8,1,6015.8,7781.982421875
8,1,6024.6,6286.62109375
8,1,6032.0,7827.7587890625
8,1,6036.2,6240.8447265625
8,1,6041.7,7583.6181640625
8,1,6055.9,6256.103515625
8,1,6064.4,7736.2060546875
8,1,6065.0,6301.8798828125
8,1,6087.1,7781.982421875
8,1,6099.4,6362.9150390625
8,1,6103.3,7827.7587890625
8,1,6140.2,6332.3974609375
8,1,6164.9,7873.53515625
8,1,6171.0,6378.173828125
8,1,6171.4,7888.7939453125
8,1,6172.0,6301.8798828125
8,1,6216.8,7858.2763671875
8,1,6247.3,6286.62109375
8,1,6249.2,7888.7939453125
8,1,6249.8,6347.65625
8,1,6271.9,7781.982421875
8,1,6285.1,6301.8798828125
8,1,6288.1,7781.982421875
8,1,6294.2,6301.8798828125
8,1,6294.6,7858.2763671875
8,1,6317.9,6271.3623046875
8,1,6333.5,7766.7236328125
8,1,6345.2,6271.3623046875
8,1,6356.2,7873.53515625
8,1,6356.8,6286.62109375
8,1,6378.9,7797.2412109375
8,1,6379.5,6240.8447265625
8,1,6395.1,7797.2412109375
8,1,6430.5,6286.62109375
8,1,6440.5,7904.052734375
8,1,6473.5,6225.5859375
8,1,6479.4,7827.7587890625
8,1,6486.1,6271.3623046875
8,1,6534.5,7965.087890625
