addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:D0:6C,RX,1731782624.265,1731782628.276,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731782628.289,1731782633.305,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731782633.317,1731782638.328,869525000,0,5,
00:80:E1:15:00:0A:D5:68,TX,1731782019.158,1731782019.264,868500000,21,4,
00:80:E1:15:00:0A:D5:68,TX,1731782079.164,1731782079.259,867300000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782139.170,1731782139.265,868300000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782199.176,1731782199.271,868300000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782259.182,1731782259.277,867900000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782319.188,1731782319.282,868100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782379.194,1731782379.288,867500000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782439.199,1731782439.294,867500000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782499.205,1731782499.300,867100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782559.211,1731782559.306,867300000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782619.217,1731782619.312,868300000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782679.223,1731782679.318,868500000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782739.229,1731782739.323,867700000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782799.235,1731782799.329,868100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782859.240,1731782859.335,867300000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782919.246,1731782919.341,867700000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731782979.252,1731782979.347,867100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731783039.258,1731783039.353,867100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731783099.264,1731783099.359,868100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731783159.270,1731783159.364,868300000,18,4,
00:80:E1:15:00:0A:D5:68,RX,1731783159.270,1731783160.531,868300000,0,4,
00:80:E1:15:00:0A:D5:68,TX,1731783160.547,1731783160.642,867900000,15,4,
00:80:E1:15:00:0A:D5:68,TX,1731783219.276,1731783219.370,867900000,18,4,
00:80:E1:15:00:0A:D5:68,RX,1731783219.276,1731783220.486,867900000,0,4,
00:80:E1:15:00:0A:D5:68,TX,1731783224.373,1731783224.468,867500000,15,4,
00:80:E1:15:00:0A:D5:68,RX,1731783224.373,1731783225.582,867500000,0,4,
00:80:E1:15:00:0A:D5:68,TX,1731783225.590,1731783225.685,867500000,18,4,
00:80:E1:15:00:0A:D5:68,RX,1731783524.601,1731783526.707,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783526.715,1731783533.735,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783533.741,1731783539.758,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783539.765,1731783545.783,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783545.790,1731783551.803,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783551.810,1731783558.823,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783558.829,1731783564.851,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783564.858,1731783570.881,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783570.889,1731783576.916,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783576.923,1731783583.938,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783583.945,1731783589.966,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783589.973,1731783595.993,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783596.000,1731783602.017,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783602.024,1731783609.046,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783609.053,1731783615.073,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783615.080,1731783621.105,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783621.112,1731783628.120,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783628.127,1731783634.148,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783634.155,1731783640.162,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783640.169,1731783646.185,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783646.192,1731783653.214,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783653.221,1731783659.238,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783659.245,1731783665.262,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783665.269,1731783671.290,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783671.297,1731783678.321,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783678.327,1731783684.345,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783684.353,1731783690.374,869525000,0,2,
00:80:E1:15:00:0A:D5:68,RX,1731783690.381,1731783696.406,869525000,0,2,
