addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:CD:7C,RX,1731776431.198,1731776437.218,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776437.225,1731776443.245,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776443.253,1731776450.275,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776450.283,1731776456.305,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776456.312,1731776462.335,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776462.343,1731776468.359,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776468.367,1731776475.390,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776475.398,1731776481.408,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776481.416,1731776487.439,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776487.447,1731776493.473,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776493.481,1731776500.496,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776500.504,1731776506.525,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776506.533,1731776512.551,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776512.558,1731776518.586,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776518.594,1731776525.611,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776525.619,1731776531.633,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,TX,1731772830.635,1731772830.694,867900000,21,5,
00:80:E1:15:05:AB:D0:6C,TX,1731772890.641,1731772890.695,867900000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731772950.647,1731772950.701,867300000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731773010.653,1731773010.707,867700000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731773070.659,1731773070.713,868500000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731773130.665,1731773130.718,867300000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773130.665,1731773131.806,867300000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1731773131.823,1731773131.872,868300000,15,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773131.823,1731773132.934,868300000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1731773136.823,1731773136.871,868500000,15,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773136.823,1731773137.933,868500000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1731773137.941,1731773137.995,867900000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773437.952,1731773439.603,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773439.615,1731773443.620,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773443.631,1731773448.641,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773448.653,1731773452.659,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773452.671,1731773457.678,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773457.690,1731773462.701,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773462.713,1731773466.730,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773466.742,1731773471.756,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731773471.768,1731773476.774,869525000,0,5,
00:80:E1:15:00:0A:D5:68,TX,1731772985.193,1731772985.299,867900000,21,4,
00:80:E1:15:00:0A:D5:68,TX,1731773045.199,1731773045.294,868100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773105.205,1731773105.300,867300000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773165.211,1731773165.306,867700000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773225.217,1731773225.312,868500000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773285.223,1731773285.317,867100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773345.229,1731773345.323,868300000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773405.234,1731773405.329,868500000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773465.240,1731773465.335,867900000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773525.246,1731773525.341,868100000,18,4,
