DR,timestamp,threshold,event,device,nb_ED,seed,objSize,distance,fport,policy
ALL,798.924937964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,819.642505964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,819.642505964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,819.642505964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,819.642505964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,840.360073964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,840.360073964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,840.360073964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,840.360073964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,861.077641964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,861.077641964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,861.077641964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,861.077641964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,881.795209964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,881.795209964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,881.795209964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,881.795209964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,902.512777964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,902.512777964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,902.512777964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,902.512777964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,923.230345964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,923.230345964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,923.230345964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,923.230345964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,943.947913964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,943.947913964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,943.947913964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,943.947913964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,964.665481964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,964.665481964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,964.665481964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,964.665481964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,985.383049964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,985.383049964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,985.383049964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,985.383049964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1006.100617964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1006.100617964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1006.100617964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1006.100617964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1026.818185964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1026.818185964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1026.818185964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1026.818185964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1047.535753964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1047.535753964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1047.535753964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1047.535753964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1068.253321964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1068.253321964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1068.253321964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1068.253321964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1088.970889964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1088.970889964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1088.970889964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1088.970889964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1109.688457964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1109.688457964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1109.688457964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1109.688457964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1130.406025964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1130.406025964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1130.406025964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1130.406025964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1151.123593964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1151.123593964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1151.123593964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1151.123593964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1171.841161964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1171.841161964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1171.841161964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1171.841161964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1192.558729964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1192.558729964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1192.558729964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1192.558729964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1213.276297964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1213.276297964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1213.276297964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1213.276297964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1233.993865964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1233.993865964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1233.993865964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1233.993865964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1254.711433964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1254.711433964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1254.711433964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1254.711433964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1275.429001964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1275.429001964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1275.429001964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1275.429001964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1296.146569964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1296.146569964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1296.146569964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1296.146569964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1316.864137964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1316.864137964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1316.864137964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1316.864137964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1337.581705964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1337.581705964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1337.581705964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1337.581705964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1358.299273964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1358.299273964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
