DR,timestamp,threshold,event,device,nb_ED,seed,objSize,distance,fport,policy
1,755.528064624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,766.624128624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,777.720192624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,788.816256624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,799.912320624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,811.008384624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,822.104448624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,833.200512624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,844.296576624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,855.392640624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,866.488704624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,877.584768624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,888.680832624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,899.776896624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,910.872960624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,921.969024624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,933.065088624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,944.161152624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,955.257216624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,966.353280624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,977.449344624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,988.545408624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,999.641472624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1010.737536624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1021.833600624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1032.929664624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1044.025728624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1055.121792624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1066.217856624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1077.313920624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1088.409984624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1099.506048624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1110.602112624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1121.698176624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1132.794240624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1143.890304624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1154.986368624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1166.082432624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,1177.178496624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,12.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,42.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,72.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,102.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,132.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,162.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,192.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,222.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,252.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,282.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,311.102912400,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
2,311.102912400,,RX,0110110|0000000000000011101001000,1,1,2000,0,202,FIXED_BY_USER
2,317.947392360,,TX,0110110|0000000000000011101001000,1,1,2000,0,29,FIXED_BY_USER
2,317.947392360,,RX,0110110|0000000000000011101001000,1,1,2000,0,204,FIXED_BY_USER
2,610.621824624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,615.801216624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,620.980608624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,626.160000624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,631.339392624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,636.518784624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,641.698176624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,646.877568624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,652.056960624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,657.236352624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,662.415744624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,667.595136624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,672.774528624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,677.953920624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,683.133312624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,688.312704624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,693.492096624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,698.671488624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
2,703.850880624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
