addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:D0:6C,RX,1731924926.305,1731924931.306,869525000,0,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924931.318,1731924935.327,869525000,0,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924935.339,1731924940.347,869525000,0,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924940.359,1731924945.369,869525000,0,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924945.382,1731924949.391,869525000,0,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924949.403,1731924954.407,869525000,0,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731698243.003,1731698243.108,867100000,21,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698273.009,1731698273.103,867100000,18,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698303.015,1731698303.109,868100000,18,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698333.020,1731698333.115,868300000,18,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698363.026,1731698363.121,867900000,18,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698393.032,1731698393.127,867900000,18,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698423.038,1731698423.133,867300000,18,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698453.044,1731698453.139,867700000,18,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698483.050,1731698483.144,867100000,18,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698513.056,1731698513.150,867100000,18,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698543.061,1731698543.156,868100000,18,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698543.061,1731698544.322,868100000,0,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698544.337,1731698544.433,868500000,15,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698544.337,1731698545.547,868500000,0,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698549.435,1731698549.530,867700000,15,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698549.435,1731698550.644,867700000,0,4,1
00:80:E1:15:05:AB:D0:6C,TX,1731698550.652,1731698550.747,867900000,18,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698849.663,1731698852.041,869525000,0,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698852.053,1731698860.072,869525000,0,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698860.084,1731698867.101,869525000,0,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698867.112,1731698874.135,869525000,0,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698874.146,1731698882.163,869525000,0,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698882.175,1731698889.186,869525000,0,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698889.199,1731698897.218,869525000,0,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698897.229,1731698904.244,869525000,0,4,1
00:80:E1:15:05:AB:D0:6C,RX,1731698904.256,1731698912.272,869525000,0,4,1
